y,x,col_val,col_var,period,first_year,last_year
3.43780849287372,-2,7,GDP,1962 - 2014,1962,2014
3.61405309490238,-1.5,7,GDP,1962 - 2014,1962,2014
3.79029769693105,-1,7,GDP,1962 - 2014,1962,2014
3.96654229895971,-0.5,7,GDP,1962 - 2014,1962,2014
4.14278690098837,0,7,GDP,1962 - 2014,1962,2014
4.31903150301703,0.5,7,GDP,1962 - 2014,1962,2014
4.49527610504569,1,7,GDP,1962 - 2014,1962,2014
4.67152070707436,1.5,7,GDP,1962 - 2014,1962,2014
4.84776530910302,2,7,GDP,1962 - 2014,1962,2014
5.02400991113168,2.5,7,GDP,1962 - 2014,1962,2014
2.11247407753585,-2,8.5,GDP,1962 - 2014,1962,2014
2.03984344662489,-1.5,8.5,GDP,1962 - 2014,1962,2014
1.96721281571392,-1,8.5,GDP,1962 - 2014,1962,2014
1.89458218480296,-0.5,8.5,GDP,1962 - 2014,1962,2014
1.821951553892,0,8.5,GDP,1962 - 2014,1962,2014
1.74932092298104,0.5,8.5,GDP,1962 - 2014,1962,2014
1.67669029207008,1,8.5,GDP,1962 - 2014,1962,2014
1.60405966115912,1.5,8.5,GDP,1962 - 2014,1962,2014
1.53142903024815,2,8.5,GDP,1962 - 2014,1962,2014
1.45879839933719,2.5,8.5,GDP,1962 - 2014,1962,2014
0.787139662197975,-2,10,GDP,1962 - 2014,1962,2014
0.465633798347387,-1.5,10,GDP,1962 - 2014,1962,2014
0.144127934496804,-1,10,GDP,1962 - 2014,1962,2014
-0.17737792935378,-0.5,10,GDP,1962 - 2014,1962,2014
-0.498883793204367,0,10,GDP,1962 - 2014,1962,2014
-0.820389657054953,0.5,10,GDP,1962 - 2014,1962,2014
-1.14189552090554,1,10,GDP,1962 - 2014,1962,2014
-1.46340138475612,1.5,10,GDP,1962 - 2014,1962,2014
-1.78490724860671,2,10,GDP,1962 - 2014,1962,2014
-2.10641311245729,2.5,10,GDP,1962 - 2014,1962,2014
4.7631429082116,5.5,-2,ECI,1962 - 2014,1962,2014
4.32136476976564,6,-2,ECI,1962 - 2014,1962,2014
3.87958663131968,6.5,-2,ECI,1962 - 2014,1962,2014
3.43780849287372,7,-2,ECI,1962 - 2014,1962,2014
2.99603035442776,7.5,-2,ECI,1962 - 2014,1962,2014
2.55425221598181,8,-2,ECI,1962 - 2014,1962,2014
2.11247407753585,8.5,-2,ECI,1962 - 2014,1962,2014
1.67069593908989,9,-2,ECI,1962 - 2014,1962,2014
1.22891780064393,9.5,-2,ECI,1962 - 2014,1962,2014
0.787139662197975,10,-2,ECI,1962 - 2014,1962,2014
6.46362224808474,5.5,0,ECI,1962 - 2014,1962,2014
5.69001046571928,6,0,ECI,1962 - 2014,1962,2014
4.91639868335383,6.5,0,ECI,1962 - 2014,1962,2014
4.14278690098837,7,0,ECI,1962 - 2014,1962,2014
3.36917511862291,7.5,0,ECI,1962 - 2014,1962,2014
2.59556333625746,8,0,ECI,1962 - 2014,1962,2014
1.821951553892,8.5,0,ECI,1962 - 2014,1962,2014
1.04833977152655,9,0,ECI,1962 - 2014,1962,2014
0.274727989161089,9.5,0,ECI,1962 - 2014,1962,2014
-0.498883793204367,10,0,ECI,1962 - 2014,1962,2014
8.16410158795788,5.5,2,ECI,1962 - 2014,1962,2014
7.05865616167293,6,2,ECI,1962 - 2014,1962,2014
5.95321073538797,6.5,2,ECI,1962 - 2014,1962,2014
4.84776530910302,7,2,ECI,1962 - 2014,1962,2014
3.74231988281806,7.5,2,ECI,1962 - 2014,1962,2014
2.63687445653311,8,2,ECI,1962 - 2014,1962,2014
1.53142903024815,8.5,2,ECI,1962 - 2014,1962,2014
0.425983603963201,9,2,ECI,1962 - 2014,1962,2014
-0.679461822321754,9.5,2,ECI,1962 - 2014,1962,2014
-1.78490724860671,10,2,ECI,1962 - 2014,1962,2014
2.46702128883991,-2,7,GDP,1963 - 2014,1963,2014
2.73122318695887,-1.5,7,GDP,1963 - 2014,1963,2014
2.99542508507784,-1,7,GDP,1963 - 2014,1963,2014
3.25962698319681,-0.5,7,GDP,1963 - 2014,1963,2014
3.52382888131577,0,7,GDP,1963 - 2014,1963,2014
3.78803077943474,0.5,7,GDP,1963 - 2014,1963,2014
4.0522326775537,1,7,GDP,1963 - 2014,1963,2014
4.31643457567267,1.5,7,GDP,1963 - 2014,1963,2014
4.58063647379163,2,7,GDP,1963 - 2014,1963,2014
4.8448383719106,2.5,7,GDP,1963 - 2014,1963,2014
1.78661062230566,-2,8.5,GDP,1963 - 2014,1963,2014
1.83309499061117,-1.5,8.5,GDP,1963 - 2014,1963,2014
1.87957935891668,-1,8.5,GDP,1963 - 2014,1963,2014
1.92606372722219,-0.5,8.5,GDP,1963 - 2014,1963,2014
1.97254809552769,0,8.5,GDP,1963 - 2014,1963,2014
2.0190324638332,0.5,8.5,GDP,1963 - 2014,1963,2014
2.06551683213871,1,8.5,GDP,1963 - 2014,1963,2014
2.11200120044422,1.5,8.5,GDP,1963 - 2014,1963,2014
2.15848556874973,2,8.5,GDP,1963 - 2014,1963,2014
2.20496993705524,2.5,8.5,GDP,1963 - 2014,1963,2014
1.10619995577141,-2,10,GDP,1963 - 2014,1963,2014
0.934966794263464,-1.5,10,GDP,1963 - 2014,1963,2014
0.763733632755516,-1,10,GDP,1963 - 2014,1963,2014
0.592500471247569,-0.5,10,GDP,1963 - 2014,1963,2014
0.42126730973962,0,10,GDP,1963 - 2014,1963,2014
0.250034148231671,0.5,10,GDP,1963 - 2014,1963,2014
0.0788009867237243,1,10,GDP,1963 - 2014,1963,2014
-0.0924321747842241,1.5,10,GDP,1963 - 2014,1963,2014
